coc_number,year,total_year_round_beds_es,total_year_round_beds_th,total_year_round_beds_sh,total_year_round_beds_psh,total_year_round_beds_rrh,total_year_round_beds_oph,total_seasonal_beds_es,total_overflow_beds_es,total_chronic_homeless_beds_psh
AK-500,2024,617.0,304.0,0.0,723.0,268.0,288.0,621.0,49.0,473.0
AK-501,2024,821.0,297.0,0.0,409.0,115.0,86.0,171.0,9.0,149.0
AL-500,2024,473.0,80.0,10.0,1376.0,164.0,0.0,0.0,0.0,50.0
AL-501,2024,246.0,199.0,0.0,242.0,120.0,10.0,0.0,12.0,0.0
AL-502,2024,125.0,86.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0
AL-503,2024,377.0,30.0,0.0,153.0,4.0,0.0,0.0,0.0,24.0
AL-504,2024,169.0,59.0,0.0,154.0,24.0,0.0,0.0,0.0,46.0
AL-505,2024,50.0,1.0,0.0,8.0,17.0,6.0,0.0,0.0,0.0
AL-506,2024,65.0,8.0,0.0,285.0,29.0,0.0,0.0,4.0,128.0
AL-507,2024,135.0,31.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
AL-508,2024,61.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
AR-500,2024,469.0,236.0,0.0,402.0,0.0,0.0,0.0,10.0,398.0
AR-501,2024,195.0,42.0,0.0,180.0,68.0,0.0,0.0,0.0,7.0
AR-503,2024,564.0,104.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0
AR-505,2024,95.0,23.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
AR-508,2024,256.0,52.0,0.0,0.0,40.0,8.0,0.0,0.0,0.0
AZ-500,2024,1327.0,295.0,22.0,1728.0,611.0,125.0,0.0,37.0,441.0
AZ-501,2024,742.0,290.0,19.0,1468.0,374.0,0.0,50.0,0.0,592.0
AZ-502,2024,4898.0,1246.0,45.0,6164.0,1663.0,1145.0,0.0,25.0,1687.0
CA-500,2024,2938.0,379.0,20.0,5000.0,1675.0,1964.0,231.0,7.0,2537.0
CA-501,2024,3922.0,448.0,0.0,5758.0,1372.0,9253.0,45.0,46.0,2216.0
CA-502,2024,2440.0,1018.0,14.0,5129.0,1196.0,166.0,260.0,12.0,972.0
CA-503,2024,2490.0,771.0,0.0,4323.0,930.0,657.0,95.0,8.0,2531.0
CA-504,2024,1001.0,243.0,0.0,1518.0,410.0,152.0,40.0,0.0,600.0
CA-505,2024,763.0,273.0,0.0,1569.0,344.0,422.0,0.0,0.0,749.0
CA-506,2024,677.0,198.0,0.0,494.0,120.0,0.0,0.0,6.0,10.0
CA-507,2024,205.0,107.0,0.0,751.0,176.0,248.0,0.0,6.0,562.0
CA-508,2024,338.0,92.0,0.0,650.0,444.0,1132.0,0.0,0.0,624.0
CA-509,2024,140.0,117.0,0.0,594.0,7.0,56.0,6.0,23.0,409.0
CA-510,2024,1076.0,233.0,0.0,730.0,124.0,424.0,0.0,3.0,685.0
CA-511,2024,1412.0,360.0,0.0,807.0,412.0,532.0,0.0,0.0,259.0
CA-512,2024,954.0,158.0,0.0,1232.0,439.0,671.0,0.0,3.0,539.0
CA-513,2024,313.0,149.0,0.0,315.0,188.0,419.0,0.0,0.0,153.0
CA-514,2024,1531.0,185.0,0.0,1433.0,599.0,54.0,0.0,0.0,1099.0
CA-515,2024,251.0,103.0,0.0,180.0,86.0,20.0,2.0,0.0,93.0
CA-516,2024,1140.0,313.0,0.0,141.0,168.0,237.0,0.0,169.0,0.0
CA-517,2024,230.0,36.0,0.0,90.0,97.0,143.0,0.0,0.0,72.0
CA-518,2024,183.0,156.0,0.0,384.0,82.0,15.0,0.0,0.0,350.0
CA-519,2024,589.0,229.0,0.0,287.0,479.0,142.0,40.0,96.0,12.0
CA-520,2024,352.0,114.0,0.0,40.0,326.0,68.0,0.0,0.0,22.0
CA-521,2024,278.0,29.0,0.0,300.0,310.0,66.0,0.0,0.0,144.0
CA-522,2024,350.0,76.0,0.0,436.0,293.0,60.0,0.0,35.0,178.0
CA-523,2024,115.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CA-524,2024,284.0,23.0,0.0,179.0,347.0,66.0,24.0,29.0,0.0
CA-525,2024,117.0,81.0,0.0,29.0,50.0,139.0,14.0,0.0,0.0
CA-526,2024,240.0,27.0,0.0,49.0,80.0,48.0,0.0,0.0,6.0
CA-527,2024,27.0,57.0,0.0,18.0,164.0,0.0,0.0,0.0,0.0
CA-529,2024,150.0,63.0,0.0,15.0,77.0,303.0,0.0,2.0,0.0
CA-530,2024,6.0,32.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
CA-531,2024,178.0,76.0,0.0,72.0,2.0,0.0,5.0,0.0,28.0
CA-600,2024,23317.0,2988.0,304.0,26433.0,9138.0,1411.0,388.0,0.0,4138.0
CA-601,2024,3746.0,1921.0,73.0,7287.0,2383.0,1988.0,24.0,130.0,991.0
CA-602,2024,3030.0,841.0,0.0,2990.0,808.0,2082.0,0.0,51.0,795.0
CA-603,2024,801.0,109.0,0.0,770.0,506.0,881.0,0.0,0.0,162.0
CA-604,2024,948.0,207.0,0.0,1335.0,451.0,186.0,0.0,0.0,337.0
CA-606,2024,569.0,462.0,52.0,1984.0,521.0,599.0,0.0,60.0,240.0
CA-607,2024,167.0,56.0,0.0,538.0,31.0,184.0,54.0,0.0,133.0
CA-608,2024,1467.0,448.0,0.0,2063.0,830.0,0.0,40.0,0.0,456.0
CA-609,2024,890.0,418.0,0.0,1649.0,1237.0,0.0,32.0,0.0,614.0
CA-611,2024,1043.0,255.0,10.0,635.0,433.0,523.0,15.0,10.0,347.0
CA-612,2024,77.0,44.0,0.0,156.0,38.0,0.0,0.0,0.0,133.0
CA-613,2024,325.0,112.0,0.0,32.0,320.0,423.0,0.0,0.0,0.0
CA-614,2024,317.0,46.0,0.0,363.0,346.0,313.0,0.0,77.0,137.0
CO-500,2024,919.0,468.0,0.0,1180.0,396.0,83.0,158.0,45.0,212.0
