coc_number,coc_name,year,overall_homeless,overall_homeless_individuals,overall_homeless_people_in_families,overall_homeless_family_households,overall_chronically_homeless_individuals,sheltered_es_homeless,sheltered_es_homeless_individuals,sheltered_es_homeless_people_in_families,sheltered_es_homeless_family_households,sheltered_th_homeless,sheltered_th_homeless_individuals,sheltered_th_homeless_people_in_families,sheltered_th_homeless_family_households,sheltered_total_homeless,sheltered_total_homeless_individuals,sheltered_total_homeless_people_in_families,sheltered_total_homeless_family_households,sheltered_total_chronically_homeless_individuals,unsheltered_homeless,unsheltered_homeless_individuals,unsheltered_homeless_people_in_families,unsheltered_homeless_family_households,unsheltered_chronically_homeless_individuals
AK-500,Anchorage CoC,2024,1709.0,1321.0,388.0,107.0,337.0,1107.0,908.0,199.0,61.0,256.0,77.0,179.0,43.0,1363.0,985.0,378.0,104.0,289.0,346.0,336.0,10.0,3.0,48.0
AK-501,Alaska Balance of State CoC,2024,977.0,698.0,279.0,84.0,196.0,635.0,442.0,193.0,59.0,209.0,123.0,86.0,25.0,844.0,565.0,279.0,84.0,132.0,133.0,133.0,0.0,0.0,64.0
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",2024,911.0,785.0,126.0,40.0,223.0,436.0,349.0,87.0,28.0,70.0,37.0,33.0,10.0,516.0,396.0,120.0,38.0,113.0,395.0,389.0,6.0,2.0,110.0
AL-501,Mobile City & County/Baldwin County CoC,2024,675.0,441.0,234.0,69.0,109.0,167.0,100.0,67.0,21.0,157.0,61.0,96.0,27.0,324.0,161.0,163.0,48.0,19.0,351.0,280.0,71.0,21.0,90.0
AL-502,Florence/Northwest Alabama CoC,2024,210.0,136.0,74.0,32.0,0.0,97.0,57.0,40.0,20.0,59.0,25.0,34.0,12.0,156.0,82.0,74.0,32.0,0.0,54.0,54.0,0.0,0.0,0.0
AL-503,Huntsville/North Alabama CoC,2024,621.0,508.0,113.0,31.0,68.0,364.0,276.0,88.0,25.0,12.0,0.0,12.0,3.0,376.0,276.0,100.0,28.0,3.0,245.0,232.0,13.0,3.0,65.0
AL-504,Montgomery City & County CoC,2024,340.0,246.0,94.0,33.0,60.0,145.0,107.0,38.0,15.0,54.0,3.0,51.0,16.0,199.0,110.0,89.0,31.0,19.0,141.0,136.0,5.0,2.0,41.0
AL-505,Gadsden/Northeast Alabama CoC,2024,335.0,332.0,3.0,1.0,52.0,50.0,50.0,0.0,0.0,1.0,1.0,0.0,0.0,51.0,51.0,0.0,0.0,8.0,284.0,281.0,3.0,1.0,44.0
AL-506,Tuscaloosa City & County CoC,2024,86.0,68.0,18.0,4.0,5.0,56.0,38.0,18.0,4.0,13.0,13.0,0.0,0.0,69.0,51.0,18.0,4.0,5.0,17.0,17.0,0.0,0.0,0.0
AL-507,Alabama Balance of State CoC,2024,1291.0,818.0,473.0,146.0,253.0,34.0,25.0,9.0,2.0,69.0,52.0,17.0,5.0,153.0,127.0,26.0,7.0,10.0,1138.0,691.0,447.0,139.0,243.0
AL-508,"Dothan/Coffee, Dale, Geneva, Henry, Houston Counties",2024,132.0,96.0,36.0,11.0,11.0,59.0,35.0,24.0,8.0,0.0,0.0,0.0,0.0,59.0,35.0,24.0,8.0,4.0,73.0,61.0,12.0,3.0,7.0
AR-500,Little Rock/Central Arkansas CoC,2024,1016.0,535.0,481.0,147.0,398.0,410.0,125.0,285.0,95.0,142.0,44.0,98.0,22.0,552.0,169.0,383.0,117.0,73.0,464.0,366.0,98.0,30.0,325.0
AR-501,Fayetteville/Northwest Arkansas CoC,2024,412.0,331.0,81.0,23.0,137.0,176.0,135.0,41.0,12.0,43.0,19.0,24.0,6.0,219.0,154.0,65.0,18.0,54.0,193.0,177.0,16.0,5.0,83.0
AR-503,Arkansas Balance of State CoC,2024,820.0,705.0,115.0,34.0,119.0,272.0,184.0,88.0,27.0,66.0,60.0,6.0,2.0,338.0,244.0,94.0,29.0,27.0,482.0,461.0,21.0,5.0,92.0
AR-505,Southeast Arkansas CoC,2024,102.0,95.0,7.0,3.0,0.0,55.0,48.0,7.0,3.0,15.0,15.0,0.0,0.0,70.0,63.0,7.0,3.0,0.0,32.0,32.0,0.0,0.0,0.0
AR-508,Fort Smith CoC,2024,433.0,369.0,64.0,15.0,120.0,201.0,182.0,19.0,6.0,69.0,24.0,45.0,9.0,270.0,206.0,64.0,15.0,40.0,163.0,163.0,0.0,0.0,80.0
AZ-500,Arizona Balance of State CoC,2024,3160.0,2473.0,687.0,212.0,805.0,962.0,677.0,285.0,95.0,244.0,132.0,112.0,39.0,1226.0,829.0,397.0,134.0,157.0,1934.0,1644.0,290.0,78.0,648.0
AZ-501,Tucson/Pima County CoC,2024,2142.0,1821.0,321.0,96.0,729.0,660.0,379.0,281.0,79.0,185.0,150.0,35.0,15.0,861.0,545.0,316.0,94.0,126.0,1281.0,1276.0,5.0,2.0,603.0
AZ-502,"Phoenix, Mesa/Maricopa County CoC",2024,9435.0,7346.0,2089.0,598.0,1963.0,4174.0,2791.0,1383.0,375.0,1151.0,667.0,484.0,163.0,5359.0,3492.0,1867.0,538.0,1318.0,4076.0,3854.0,222.0,60.0,645.0
CA-500,San Jose/Santa Clara City & County CoC,2024,10394.0,9019.0,1375.0,424.0,3710.0,2691.0,1628.0,1063.0,328.0,298.0,219.0,79.0,29.0,2993.0,1851.0,1142.0,357.0,905.0,7401.0,7168.0,233.0,67.0,2805.0
CA-501,San Francisco CoC,2024,8323.0,7220.0,1103.0,405.0,2899.0,3644.0,2944.0,700.0,222.0,325.0,184.0,141.0,53.0,3969.0,3128.0,841.0,275.0,1614.0,4354.0,4092.0,262.0,130.0,1285.0
CA-502,"Oakland, Berkeley/Alameda County CoC",2024,9450.0,8751.0,699.0,237.0,3629.0,2271.0,1868.0,403.0,134.0,825.0,635.0,190.0,74.0,3107.0,2514.0,593.0,208.0,1188.0,6343.0,6237.0,106.0,29.0,2441.0
CA-503,Sacramento City & County CoC,2024,6615.0,5535.0,1080.0,347.0,1341.0,2174.0,1367.0,807.0,252.0,497.0,260.0,237.0,85.0,2671.0,1627.0,1044.0,337.0,737.0,3944.0,3908.0,36.0,10.0,604.0
CA-504,"Santa Rosa, Petaluma/Sonoma County CoC",2024,2522.0,2324.0,198.0,57.0,579.0,748.0,575.0,173.0,47.0,197.0,183.0,14.0,6.0,945.0,758.0,187.0,53.0,162.0,1577.0,1566.0,11.0,4.0,417.0
CA-505,Richmond/Contra Costa County CoC,2024,2843.0,2515.0,328.0,106.0,1545.0,685.0,556.0,129.0,42.0,199.0,117.0,82.0,26.0,884.0,673.0,211.0,68.0,327.0,1959.0,1842.0,117.0,38.0,1218.0
CA-506,"Salinas/Monterey, San Benito Counties CoC",2024,3057.0,2622.0,435.0,124.0,967.0,533.0,282.0,251.0,71.0,145.0,98.0,47.0,14.0,678.0,380.0,298.0,85.0,167.0,2379.0,2242.0,137.0,39.0,800.0
CA-507,Marin County CoC,2024,1090.0,886.0,204.0,64.0,167.0,186.0,134.0,52.0,16.0,116.0,33.0,83.0,28.0,302.0,167.0,135.0,44.0,77.0,788.0,719.0,69.0,20.0,90.0
CA-508,Watsonville/Santa Cruz City & County CoC,2024,1850.0,1679.0,171.0,52.0,674.0,300.0,195.0,105.0,32.0,65.0,9.0,56.0,16.0,365.0,204.0,161.0,48.0,112.0,1485.0,1475.0,10.0,4.0,562.0
CA-509,Mendocino County CoC,2024,774.0,682.0,92.0,30.0,133.0,147.0,113.0,34.0,11.0,75.0,41.0,34.0,13.0,222.0,154.0,68.0,24.0,72.0,552.0,528.0,24.0,6.0,61.0
CA-510,"Turlock, Modesto/Stanislaus County CoC",2024,2052.0,1787.0,265.0,88.0,541.0,880.0,691.0,189.0,60.0,192.0,123.0,69.0,26.0,1072.0,814.0,258.0,86.0,269.0,980.0,973.0,7.0,2.0,272.0
CA-511,Stockton/San Joaquin County CoC,2024,4732.0,4278.0,454.0,139.0,1038.0,1044.0,662.0,382.0,115.0,219.0,161.0,58.0,18.0,1263.0,823.0,440.0,133.0,260.0,3469.0,3455.0,14.0,6.0,778.0
CA-512,Daly/San Mateo County CoC,2024,2130.0,1567.0,563.0,167.0,632.0,837.0,524.0,313.0,94.0,148.0,9.0,139.0,36.0,985.0,533.0,452.0,130.0,246.0,1145.0,1034.0,111.0,37.0,386.0
CA-513,"Visalia/Kings, Tulare Counties CoC",2024,1672.0,1440.0,232.0,73.0,458.0,223.0,122.0,101.0,31.0,108.0,102.0,6.0,2.0,331.0,224.0,107.0,33.0,15.0,1341.0,1216.0,125.0,40.0,443.0
CA-514,Fresno City & County/Madera County CoC,2024,4305.0,3858.0,447.0,101.0,1653.0,1376.0,1029.0,347.0,64.0,171.0,124.0,47.0,15.0,1547.0,1153.0,394.0,79.0,536.0,2758.0,2705.0,53.0,22.0,1117.0
CA-515,Rocklin/Roseville/Placer County CoC,2024,702.0,587.0,115.0,36.0,249.0,238.0,192.0,46.0,14.0,98.0,49.0,49.0,15.0,336.0,241.0,95.0,29.0,134.0,366.0,346.0,20.0,7.0,115.0
CA-516,"Redding/Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties CoC",2024,2404.0,2029.0,375.0,138.0,731.0,591.0,377.0,214.0,96.0,378.0,243.0,135.0,35.0,970.0,621.0,349.0,131.0,119.0,1434.0,1408.0,26.0,7.0,612.0
CA-517,Napa City & County CoC,2024,414.0,369.0,45.0,14.0,198.0,184.0,155.0,29.0,9.0,27.0,17.0,10.0,3.0,211.0,172.0,39.0,12.0,81.0,203.0,197.0,6.0,2.0,117.0
CA-518,Vallejo/Solano County CoC,2024,1725.0,1653.0,72.0,25.0,485.0,169.0,156.0,13.0,6.0,120.0,101.0,19.0,8.0,289.0,257.0,32.0,14.0,40.0,1436.0,1396.0,40.0,11.0,445.0
CA-519,"Chico, Paradise/Butte County CoC",2024,1381.0,1207.0,174.0,57.0,493.0,641.0,559.0,82.0,26.0,160.0,81.0,79.0,26.0,801.0,640.0,161.0,52.0,275.0,580.0,567.0,13.0,5.0,218.0
CA-520,Merced City & County CoC,2024,837.0,738.0,99.0,35.0,283.0,311.0,217.0,94.0,33.0,98.0,96.0,2.0,1.0,409.0,313.0,96.0,34.0,103.0,428.0,425.0,3.0,1.0,180.0
